"Time","specialty coffee","coffee roastery","espresso bar"
"2021-02-01",26,10,0
"2021-03-01",36,12,0
"2021-04-01",27,10,0
"2021-05-01",31,13,0
"2021-06-01",27,11,0
"2021-07-01",26,16,0
"2021-08-01",36,18,0
"2021-09-01",32,18,0
"2021-10-01",28,23,0
"2021-11-01",32,11,0
"2021-12-01",34,10,0
"2022-01-01",33,8,0
"2022-02-01",43,16,0
"2022-03-01",40,12,5
"2022-04-01",29,12,0
"2022-05-01",35,12,0
"2022-06-01",35,12,0
"2022-07-01",41,8,0
"2022-08-01",37,14,0
"2022-09-01",36,15,7
"2022-10-01",36,11,0
"2022-11-01",38,11,0
"2022-12-01",36,11,0
"2023-01-01",38,16,0
"2023-02-01",40,15,0
"2023-03-01",37,12,0
"2023-04-01",43,13,0
"2023-05-01",36,9,0
"2023-06-01",43,13,0
"2023-07-01",59,14,0
"2023-08-01",45,10,0
"2023-09-01",44,14,0
"2023-10-01",39,10,0
"2023-11-01",46,17,0
"2023-12-01",51,15,6
"2024-01-01",50,16,7
"2024-02-01",54,17,7
"2024-03-01",47,15,0
"2024-04-01",48,15,0
"2024-05-01",52,14,0
"2024-06-01",53,11,0
"2024-07-01",56,15,7
"2024-08-01",64,21,0
"2024-09-01",70,17,0
"2024-10-01",54,12,6
"2024-11-01",52,15,0
"2024-12-01",59,16,7
"2025-01-01",66,15,0
"2025-02-01",60,17,9
"2025-03-01",52,17,0
"2025-04-01",60,19,0
"2025-05-01",65,0,9
"2025-06-01",54,23,0
"2025-07-01",68,22,0
"2025-08-01",71,29,0
"2025-09-01",63,27,0
"2025-10-01",61,22,0
"2025-11-01",79,32,0
"2025-12-01",91,29,14
"2026-01-01",100,22,8