area,demand_score,competition_intensity,price_level_index,reputation_strength,growth_momentum,barrier_to_entry,opportunity_score,market_positioning,strengths,risks,total_cafes,avg_rating,avg_rent,explanation,profile,profile_label
Bur Dubai,0.6136057016777058,0.0,0.08333333333333326,1.0,0.8999999999999999,0.4961554041573184,100.0,Emerging Opportunity,High consumer demand; Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic,Relatively low risk profile,1,4.8,85.0,"Score: 100.0/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Demand Score (0.61) | Top concern: Barrier To Entry (0.50) | Market: Emerging Opportunity",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
Dubai Silicon Oasis,0.04398100889111404,0.006062942768579578,0.08333333333333326,0.7466842379499119,0.8999999999999999,0.09822866222842028,81.76847932260584,Underserved / Niche,Strong area reputation; Growing market momentum; Lower operational costs,Market oversaturation risk,1,4.7,100.0,"Score: 81.8/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Growth Momentum (0.90) | Top concern: Barrier To Entry (0.10) | Market: Underserved / Niche",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
Mirdif,0.0,0.058590245818309065,0.08333333333333326,0.7075956514645368,0.8499999999999999,0.10948397013851607,73.89411366134804,Underserved / Niche,Strong area reputation; Growing market momentum; Lower operational costs,Market oversaturation risk,3,4.533333333333333,120.0,"Score: 73.9/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Growth Momentum (0.85) | Top concern: Competition Intensity (0.06) | Market: Underserved / Niche",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
D3 Design District,0.34664863251649547,0.1366629053691207,0.08333333333333326,0.6598376642783749,1.0,0.5346642851510305,72.18156104961965,Emerging Opportunity,Growing market momentum; High foot traffic zone; Tourist-heavy traffic; Good parking availability,Market oversaturation risk,6,4.416666666666667,180.0,"Score: 72.2/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Growth Momentum (1.00) | Top concern: Barrier To Entry (0.53) | Market: Emerging Opportunity",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
Satwa,0.5256616301567102,0.1906827759291754,0.08333333333333326,0.730745302106524,0.65,0.4961554041573184,71.61340729810462,Emerging Opportunity,Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic,Market oversaturation risk,5,4.66,85.0,"Score: 71.6/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Demand Score (0.53) | Top concern: Barrier To Entry (0.50) | Market: Emerging Opportunity",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
Deira,0.5485869588388854,0.08264185450656515,0.08333333333333326,0.5230931226454947,0.4714285714285714,0.5078727203397063,70.8556609774091,Emerging Opportunity,High consumer demand; High foot traffic zone; Tourist-heavy traffic; Good parking availability,Market oversaturation risk,7,4.5285714285714285,90.0,"Score: 70.9/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Demand Score (0.55) | Top concern: Barrier To Entry (0.51) | Market: Emerging Opportunity",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
JBR,0.3903778624432241,0.1176257526739402,0.08333333333333326,0.9575108777295829,0.8999999999999999,0.8125229410817928,70.51166749422077,Emerging Opportunity,Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic,High rent & utility costs,1,4.7,220.0,"Score: 70.5/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Reputation Strength (0.96) | Top concern: Barrier To Entry (0.81) | Market: Emerging Opportunity",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
Dubai Marina,0.4408351232611808,0.143795303848386,0.08333333333333326,0.845009075402095,0.7653846153846153,0.692258255818852,69.51897455355109,Emerging Opportunity,Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic,High rent & utility costs,13,4.684615384615385,200.0,"Score: 69.5/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Demand Score (0.44) | Top concern: Barrier To Entry (0.69) | Market: Emerging Opportunity",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
Oud Metha,0.598551826665871,0.2482976361705822,0.0,0.5435361633372683,0.6318181818181818,0.5195900365220942,68.41883841923014,Emerging Opportunity,High consumer demand; Growing market momentum; High foot traffic zone; Tourist-heavy traffic; Good parking availability,Relatively low risk profile,11,4.445454545454545,95.0,"Score: 68.4/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Demand Score (0.60) | Top concern: Barrier To Entry (0.52) | Market: Emerging Opportunity",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
Karama,0.5410768845888985,0.1652854187860232,0.08333333333333326,0.5681542412995081,0.40625,0.48443808797493043,65.30203931446057,Emerging Opportunity,High consumer demand; High foot traffic zone; Tourist-heavy traffic,Market oversaturation risk,4,4.45,80.0,"Score: 65.3/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Demand Score (0.54) | Top concern: Barrier To Entry (0.48) | Market: Emerging Opportunity",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
Al Wasl,0.5615389200035408,0.15709171573305244,0.17500000000000002,0.40298197892553295,0.8,0.5986819207532128,64.97088626617635,Emerging Opportunity,High consumer demand; Growing market momentum; High foot traffic zone; Tourist-heavy traffic; Good parking availability,Relatively low risk profile,10,4.1899999999999995,140.0,"Score: 65.0/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Demand Score (0.56) | Top concern: Barrier To Entry (0.60) | Market: Emerging Opportunity",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
Business Bay,0.5156188519921653,0.18276393567908103,0.08333333333333326,0.6645719766871964,0.5089285714285714,0.6614020012076812,61.50053061907042,Emerging Opportunity,Strong area reputation; High foot traffic zone; Tourist-heavy traffic,Market oversaturation risk; High rent & utility costs,14,4.635714285714286,180.0,"Score: 61.5/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Demand Score (0.52) | Top concern: Barrier To Entry (0.66) | Market: Emerging Opportunity",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
Jumeirah,0.6757721692846885,0.36107217794367485,0.13425925925925902,0.6694643860811331,0.6215277777777777,0.5950146618282603,59.84431290673894,Emerging Opportunity,High consumer demand; Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic; Good parking availability,Relatively low risk profile,36,4.6305555555555555,160.0,"Score: 59.8/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Demand Score (0.68) | Top concern: Competition Intensity (0.36) | Market: Emerging Opportunity",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
Al Quoz,0.2217356306167549,0.18361678153006136,0.08333333333333326,0.615226277007552,0.585,0.35303277770636354,59.23699284850811,Emerging Opportunity,High foot traffic zone; Tourist-heavy traffic,Market oversaturation risk,15,4.546666666666667,110.0,"Score: 59.2/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Reputation Strength (0.62) | Top concern: Competition Intensity (0.18) | Market: Emerging Opportunity",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
Al Barsha,0.1467639069038109,0.09933369548412833,0.08333333333333326,0.5967579000689255,0.5357142857142857,0.4500570894018956,56.7642429107722,Balanced Market,High foot traffic zone; Tourist-heavy traffic,Market oversaturation risk,7,4.642857142857143,130.0,"Score: 56.8/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Reputation Strength (0.60) | Top concern: Barrier To Entry (0.45) | Market: Balanced Market",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
City Walk,0.6257425109447587,0.20915499162219423,0.5416666666666666,0.8769334870846254,0.9136363636363636,0.8593922058113447,56.430203279482484,Emerging Opportunity,High consumer demand; Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic; Good parking availability,High rent & utility costs,11,4.654545454545455,240.0,"Score: 56.4/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Demand Score (0.63) | Top concern: Barrier To Entry (0.86) | Market: Emerging Opportunity",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
Umm Suqeim,0.26897449443364857,0.11303032150435596,0.18518518518518517,0.6219804688717728,0.44166666666666665,0.5229355006781954,53.90609390761275,Emerging Opportunity,High foot traffic zone; Tourist-heavy traffic,Market oversaturation risk,9,4.5,150.0,"Score: 53.9/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Reputation Strength (0.62) | Top concern: Barrier To Entry (0.52) | Market: Emerging Opportunity",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
Sheikh Zayed Road,0.596732942186745,0.30567017876623814,0.08333333333333326,0.4851344213567533,0.4833333333333333,0.7356458411874018,49.787191431828944,Emerging Opportunity,High consumer demand; High foot traffic zone; Tourist-heavy traffic,High rent & utility costs,21,4.523809523809524,190.0,"Score: 49.8/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Demand Score (0.60) | Top concern: Barrier To Entry (0.74) | Market: Emerging Opportunity",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
International City,0.28587729587131894,0.069267653382073,0.08333333333333326,0.0,0.09999999999999999,0.27892304651084915,47.63920207883369,Emerging Opportunity,High foot traffic zone; Tourist-heavy traffic,Market oversaturation risk; Mixed/low customer sentiment; Stagnant/declining momentum,1,4.2,70.0,"Score: 47.6/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Demand Score (0.29) | Top concern: Barrier To Entry (0.28) | Market: Emerging Opportunity",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
Other,0.4277689556695979,0.8650634186374583,0.0934065934065933,0.651622618682777,0.5552197802197802,0.0,34.344388121628825,Balanced Market,High foot traffic zone; Tourist-heavy traffic; Lower operational costs,Market oversaturation risk,91,4.6098901098901095,,"Score: 34.3/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Demand Score (0.43) | Top concern: Competition Intensity (0.87) | Market: Balanced Market",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
Downtown Dubai,1.0,1.0,0.15522875816993473,0.7961411871858062,0.7431372549019606,0.8483641435220384,27.776558558180714,High-Growth Corridor,High consumer demand; Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic,High rent & utility costs; Premium-skewed,51,4.672549019607843,250.0,"Score: 27.8/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Demand Score (1.00) | Top concern: Competition Intensity (1.00) | Market: High-Growth Corridor",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
Media City,0.1792407256966186,0.4952979208067283,0.08333333333333326,0.9962849931316357,0.0,0.49780192300006165,26.954002648324494,Emerging Opportunity,Strong area reputation; High foot traffic zone; Tourist-heavy traffic,Market oversaturation risk; Stagnant/declining momentum,1,4.8,150.0,"Score: 27.0/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Reputation Strength (1.00) | Top concern: Competition Intensity (0.50) | Market: Emerging Opportunity",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
DIFC,0.509103147928119,0.38102548436736394,1.0,0.6378721833537812,0.635,0.7539363601698532,16.1998106072934,Emerging Opportunity,Growing market momentum; High foot traffic zone; Tourist-heavy traffic,Market oversaturation risk; High rent & utility costs; Premium-skewed,15,4.546666666666667,220.0,"Score: 16.2/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Demand Score (0.51) | Top concern: Price Level Index (1.00) | Market: Emerging Opportunity",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
Dubai Mall,0.7764743494608273,0.8344194395914887,1.0,0.9275730919706682,0.8166666666666665,1.0,0.0,High-Growth Corridor,High consumer demand; Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic,High rent & utility costs; Premium-skewed,15,4.746666666666667,300.0,"Score: 0.0/100 for 'Budget-Conscious, Low-Competition Seeker' | Top advantage: Demand Score (0.78) | Top concern: Competition Intensity (0.83) | Market: High-Growth Corridor",budget_cautious,"Budget-Conscious, Low-Competition Seeker"
Dubai Mall,0.7764743494608273,0.8344194395914887,1.0,0.9275730919706682,0.8166666666666665,1.0,100.0,High-Growth Corridor,High consumer demand; Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic,High rent & utility costs; Premium-skewed,15,4.746666666666667,300.0,Score: 100.0/100 for 'Premium Concept in High-Demand Area' | Top advantage: Demand Score (0.78) | Top concern: Barrier To Entry (1.00) | Market: High-Growth Corridor,premium_concept,Premium Concept in High-Demand Area
Bur Dubai,0.6136057016777058,0.0,0.08333333333333326,1.0,0.8999999999999999,0.4961554041573184,94.04555015555857,Emerging Opportunity,High consumer demand; Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic,Relatively low risk profile,1,4.8,85.0,Score: 94.0/100 for 'Premium Concept in High-Demand Area' | Top advantage: Reputation Strength (1.00) | Top concern: Barrier To Entry (0.50) | Market: Emerging Opportunity,premium_concept,Premium Concept in High-Demand Area
City Walk,0.6257425109447587,0.20915499162219423,0.5416666666666666,0.8769334870846254,0.9136363636363636,0.8593922058113447,92.3171679073525,Emerging Opportunity,High consumer demand; Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic; Good parking availability,High rent & utility costs,11,4.654545454545455,240.0,Score: 92.3/100 for 'Premium Concept in High-Demand Area' | Top advantage: Demand Score (0.63) | Top concern: Barrier To Entry (0.86) | Market: Emerging Opportunity,premium_concept,Premium Concept in High-Demand Area
DIFC,0.509103147928119,0.38102548436736394,1.0,0.6378721833537812,0.635,0.7539363601698532,77.75290949232117,Emerging Opportunity,Growing market momentum; High foot traffic zone; Tourist-heavy traffic,Market oversaturation risk; High rent & utility costs; Premium-skewed,15,4.546666666666667,220.0,Score: 77.8/100 for 'Premium Concept in High-Demand Area' | Top advantage: Demand Score (0.51) | Top concern: Barrier To Entry (0.75) | Market: Emerging Opportunity,premium_concept,Premium Concept in High-Demand Area
Downtown Dubai,1.0,1.0,0.15522875816993473,0.7961411871858062,0.7431372549019606,0.8483641435220384,77.07412381428026,High-Growth Corridor,High consumer demand; Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic,High rent & utility costs; Premium-skewed,51,4.672549019607843,250.0,Score: 77.1/100 for 'Premium Concept in High-Demand Area' | Top advantage: Demand Score (1.00) | Top concern: Competition Intensity (1.00) | Market: High-Growth Corridor,premium_concept,Premium Concept in High-Demand Area
JBR,0.3903778624432241,0.1176257526739402,0.08333333333333326,0.9575108777295829,0.8999999999999999,0.8125229410817928,66.34254906025195,Emerging Opportunity,Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic,High rent & utility costs,1,4.7,220.0,Score: 66.3/100 for 'Premium Concept in High-Demand Area' | Top advantage: Reputation Strength (0.96) | Top concern: Barrier To Entry (0.81) | Market: Emerging Opportunity,premium_concept,Premium Concept in High-Demand Area
Jumeirah,0.6757721692846885,0.36107217794367485,0.13425925925925902,0.6694643860811331,0.6215277777777777,0.5950146618282603,64.31100459388232,Emerging Opportunity,High consumer demand; Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic; Good parking availability,Relatively low risk profile,36,4.6305555555555555,160.0,Score: 64.3/100 for 'Premium Concept in High-Demand Area' | Top advantage: Demand Score (0.68) | Top concern: Barrier To Entry (0.60) | Market: Emerging Opportunity,premium_concept,Premium Concept in High-Demand Area
Satwa,0.5256616301567102,0.1906827759291754,0.08333333333333326,0.730745302106524,0.65,0.4961554041573184,62.16213619728271,Emerging Opportunity,Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic,Market oversaturation risk,5,4.66,85.0,Score: 62.2/100 for 'Premium Concept in High-Demand Area' | Top advantage: Demand Score (0.53) | Top concern: Barrier To Entry (0.50) | Market: Emerging Opportunity,premium_concept,Premium Concept in High-Demand Area
Dubai Marina,0.4408351232611808,0.143795303848386,0.08333333333333326,0.845009075402095,0.7653846153846153,0.692258255818852,62.11341625865007,Emerging Opportunity,Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic,High rent & utility costs,13,4.684615384615385,200.0,Score: 62.1/100 for 'Premium Concept in High-Demand Area' | Top advantage: Reputation Strength (0.85) | Top concern: Barrier To Entry (0.69) | Market: Emerging Opportunity,premium_concept,Premium Concept in High-Demand Area
D3 Design District,0.34664863251649547,0.1366629053691207,0.08333333333333326,0.6598376642783749,1.0,0.5346642851510305,58.937883707868174,Emerging Opportunity,Growing market momentum; High foot traffic zone; Tourist-heavy traffic; Good parking availability,Market oversaturation risk,6,4.416666666666667,180.0,Score: 58.9/100 for 'Premium Concept in High-Demand Area' | Top advantage: Growth Momentum (1.00) | Top concern: Barrier To Entry (0.53) | Market: Emerging Opportunity,premium_concept,Premium Concept in High-Demand Area
Al Wasl,0.5615389200035408,0.15709171573305244,0.17500000000000002,0.40298197892553295,0.8,0.5986819207532128,56.2346716073029,Emerging Opportunity,High consumer demand; Growing market momentum; High foot traffic zone; Tourist-heavy traffic; Good parking availability,Relatively low risk profile,10,4.1899999999999995,140.0,Score: 56.2/100 for 'Premium Concept in High-Demand Area' | Top advantage: Demand Score (0.56) | Top concern: Barrier To Entry (0.60) | Market: Emerging Opportunity,premium_concept,Premium Concept in High-Demand Area
Oud Metha,0.598551826665871,0.2482976361705822,0.0,0.5435361633372683,0.6318181818181818,0.5195900365220942,53.09440534658994,Emerging Opportunity,High consumer demand; Growing market momentum; High foot traffic zone; Tourist-heavy traffic; Good parking availability,Relatively low risk profile,11,4.445454545454545,95.0,Score: 53.1/100 for 'Premium Concept in High-Demand Area' | Top advantage: Demand Score (0.60) | Top concern: Barrier To Entry (0.52) | Market: Emerging Opportunity,premium_concept,Premium Concept in High-Demand Area
Dubai Silicon Oasis,0.04398100889111404,0.006062942768579578,0.08333333333333326,0.7466842379499119,0.8999999999999999,0.09822866222842028,51.54343754018017,Underserved / Niche,Strong area reputation; Growing market momentum; Lower operational costs,Market oversaturation risk,1,4.7,100.0,Score: 51.5/100 for 'Premium Concept in High-Demand Area' | Top advantage: Reputation Strength (0.75) | Top concern: Barrier To Entry (0.10) | Market: Underserved / Niche,premium_concept,Premium Concept in High-Demand Area
Deira,0.5485869588388854,0.08264185450656515,0.08333333333333326,0.5230931226454947,0.4714285714285714,0.5078727203397063,50.08809532936203,Emerging Opportunity,High consumer demand; High foot traffic zone; Tourist-heavy traffic; Good parking availability,Market oversaturation risk,7,4.5285714285714285,90.0,Score: 50.1/100 for 'Premium Concept in High-Demand Area' | Top advantage: Demand Score (0.55) | Top concern: Barrier To Entry (0.51) | Market: Emerging Opportunity,premium_concept,Premium Concept in High-Demand Area
